Visual-Chart-ID,Visual-Chart-Name,Ambition-ID,Category-ID,Chart-Type,File-Path,Table Commentary,Page Commentary,Chart-Displayed,Y-Label,Map-Type,X-Axis-Key,Y-Axis-Key,Third-Var-Key,Golden-Thread
1,Childhood Vaccinations,1,1,line,childhood-vaccinations.json,Percentage of children for whom the local authority is responsible who received one dose of MMR on or after their first birthday and at any time up to their second birthday,"Lambeth has a significantly higher rate of vaccination than London for 2022/23, and made a significant increase from 2021/22 by almost 10 percentage points. However, it is still below the 95% ideal benchmark.",y,Population (%) MMR for one dose (2 years old),N/A,Time period,Value,AreaName,n
2,Overweight - Reception,1,1,line,healthy-weight---reception.json,Proportion of children aged 4-5 years classified as overweight or living with obesity (BMI >= 85 percentile),"Lambeth has a significantly higher value than London for 2022/23, but there was no significant difference between the two the previous year.",y,Number of Children (%) ,N/A,Time period,Value,AreaName,n
3,Overweight - Year 6,1,1,line,healthy-weight---year-6.json,Proportion of children aged 10-11 years classified as overweight or living with obesity (BMI >= 85 percentile) ,There is no significant difference between Lambeth and London values for either year.,y,Number of Children (%) ,N/A,Time period,Value,AreaName,n
4,Good Level of Development - Age 5,1,1,line,good-level-of-development---age-5.json,Children defined as having reached a good level of development at the end of the Early Years Foundation Stage (EYFS) as a percentage of all eligible children,There is no significant difference between Lambeth and London values for either year.,y,Number of Children (%) ,N/A,Time period,Value,AreaName,n
5,Wellbeing Resident survey - Cost,1,2,survey-bar,survey_wellbeing_cost.json,Borough-wide responses to wellbeing questions from the latest annual Resident survey,"These graphs show the responses to questions related to wellbeing from the residents survey (excluding 'don't know' responses). In response to the first question, 80% of respondents gave a score of 7 or above, indicating that the majority of respondents feel that things in their life are worthwhile. 4.2% responded with 4 or less, suggesting that a significant number of residents do not feel that things in their life are worthwhile.

More respondents were negative towards the question about how anxious they felt yesterday. Just under 25% of repondents replied with 7 or above, and only 52% of people gave a score of 4 or less. This indicates that a significant proportion of residents feel anxiety at least some of the time across the borough, and many a high degree of anxiety.

Six percent of respondents said that their health was bad or very bad, while 72% said it was good or very good.",y,Number of responses (%),N/A,Response,Ward Value,N/A,n
6,Wellbeing Resident survey - Health,1,2,survey-bar,survey_wellbeing_health.json,Borough-wide responses to wellbeing questions from the latest annual Resident survey,"These graphs show the responses to questions related to wellbeing from the residents survey (excluding 'don't know' responses). In response to the first question, 80% of respondents gave a score of 7 or above, indicating that the majority of respondents feel that things in their life are worthwhile. 4.2% responded with 4 or less, suggesting that a significant number of residents do not feel that things in their life are worthwhile.

More respondents were negative towards the question about how anxious they felt yesterday. Just under 25% of repondents replied with 7 or above, and only 52% of people gave a score of 4 or less. This indicates that a significant proportion of residents feel anxiety at least some of the time across the borough, and many a high degree of anxiety.

Six percent of respondents said that their health was bad or very bad, while 72% said it was good or very good.",y,Number of responses (%),N/A,Response,Ward Value,N/A,n
7,Wellbeing Resident survey - Safety,1,2,survey-bar,survey_wellbeing_safety.json,Borough-wide responses to wellbeing questions from the latest annual Resident survey,"These graphs show the responses to questions related to wellbeing from the residents survey (excluding 'don't know' responses). In response to the first question, 80% of respondents gave a score of 7 or above, indicating that the majority of respondents feel that things in their life are worthwhile. 4.2% responded with 4 or less, suggesting that a significant number of residents do not feel that things in their life are worthwhile.

More respondents were negative towards the question about how anxious they felt yesterday. Just under 25% of repondents replied with 7 or above, and only 52% of people gave a score of 4 or less. This indicates that a significant proportion of residents feel anxiety at least some of the time across the borough, and many a high degree of anxiety.

Six percent of respondents said that their health was bad or very bad, while 72% said it was good or very good.",y,Number of responses (%),N/A,Response,Ward Value,N/A,n
8,Personal wellbeing - Happiness,1,2,survey-bar,,"Estimates of life satisfaction, feeling that the things done in life are worthwhile, happiness and anxiety","There is no significant difference between any of the metrics for Lambeth and London in 2022/23. However, Lambeth had significantly higher mean value for Anxiety than London in 2021/22.",n,,N/A,,,,n
9,Sexual Health,1,1,line,sexual-health.json,STI diagnoses per capita (excluding chlamydia in under 25-year-olds) among people accessing sexual health services in England,"Lambeth has significantly higher diagnosis rates than London for both years (almost triple London's values), but it should be noted that Lambeth also tests proportionately higher than the city for STIs.",y,"STI diagnoses rate per 100,000",N/A,Time period,Value,AreaName,n
10,Physical Exercise,1,1,line,physical-exercise.json,Percentage of respondents aged 19 and over doing at least 150 moderate intensity equivalent (MIE) minutes physical activity per week in bouts of 10 minutes or more in the previous 28 days,"There is no significant difference between Lambeth and London values in 2021/22. However, Lambeth had significantly higher value than London in 2020/21.",y,(%) Physically active adults,N/A,Time period,Value,AreaName,n
